,store_name,sido,gungu,_merge
0,학동역 DT점,서울특별시,강남구,both
1,수서점,서울특별시,강남구,both
2,차병원점,서울특별시,강남구,both
3,스타타워점,서울특별시,강남구,both
4,메가박스점,서울특별시,강남구,both
5,언주로점,서울특별시,강남구,both
6,압구정에스점,서울특별시,강남구,both
7,청담에스점,서울특별시,강남구,both
8,신사점,서울특별시,강남구,both
9,압구정역점,서울특별시,강남구,both
10,역삼점,서울특별시,강남구,both
11,청담성당점,서울특별시,강남구,both
12,도곡점,서울특별시,강남구,both
13,영동고앞점,서울특별시,강남구,both
14,공항터미널앞점,서울특별시,강남구,both
15,대치한티점,서울특별시,강남구,both
16,압구정시티점,서울특별시,강남구,both
17,압구정로데오점,서울특별시,강남구,both
18,논현팍스타워점,서울특별시,강남구,both
19,삼성오크우드점,서울특별시,강남구,both
20,트레이드타워점,서울특별시,강남구,both
21,삼성봉은사거리점,서울특별시,강남구,both
22,대치포스코뒷점,서울특별시,강남구,both
23,논현동수면센터점,서울특별시,강남구,both
24,대치도곡역점,서울특별시,강남구,both
25,역삼포스틸타워뒷점,서울특별시,강남구,both
26,테헤란로하이닉스뒷점,서울특별시,강남구,both
27,삼성봉은사로점,서울특별시,강남구,both
28,매봉역점,서울특별시,강남구,both
29,강남역랭기지타워점,서울특별시,강남구,both
30,강남구청앞점,서울특별시,강남구,both
31,도심공항타워점,서울특별시,강남구,both
32,청담카페점,서울특별시,강남구,both
33,국기원사거리점,서울특별시,강남구,both
34,테헤란로비젼타워점,서울특별시,강남구,both
35,코엑스인터점,서울특별시,강남구,both
36,뉴압구정점,서울특별시,강남구,both
37,포스코사거리점,서울특별시,강남구,both
38,선릉로93길점,서울특별시,강남구,both
39,강남역먹자골목점,서울특별시,강남구,both
40,삼성로점,서울특별시,강남구,both
41,선릉로86길점,서울특별시,강남구,both
42,뉴선릉역점,서울특별시,강남구,both
43,삼성금융플라자점,서울특별시,강남구,both
44,뉴가로수길점,서울특별시,강남구,both
45,압구정현대아파트점,서울특별시,강남구,both
46,역삼역4번출구점,서울특별시,강남구,both
47,영동2교사거리점,서울특별시,강남구,both
48,강남대로센터점,서울특별시,강남구,both
49,도심공항점,서울특별시,강남구,both
50,차병원사거리점,서울특별시,강남구,both
51,CBTL(커피빈)파르나스몰점,서울특별시,강남구,both
52,강남오토스퀘어점,서울특별시,강남구,both
53,삼성역글라스타워뒷점,서울특별시,강남구,both
54,포스코옆삼성로86길점,서울특별시,강남구,both
55,대치동나무병원점,서울특별시,강남구,both
56,신논현역점,서울특별시,강남구,both
57,대치사거리점,서울특별시,강남구,both
58,역삼동태광타워점,서울특별시,강남구,both
59,강남역12번출구점,서울특별시,강남구,both
60,도곡동지오빌딩점,서울특별시,강남구,both
61,한티역디마크빌딩점,서울특별시,강남구,both
62,논현201-5번지점,서울특별시,강남구,both
63,선릉역3번출구세방빌딩점,서울특별시,강남구,both
64,강남대로점,서울특별시,서초구,both
65,강남에스점,서울특별시,서초구,both
66,양재스포타임점,서울특별시,서초구,both
67,영동점,서울특별시,서초구,both
68,교대점,서울특별시,서초구,both
69,서초우성점,서울특별시,서초구,both
70,반포엘루체점,서울특별시,서초구,both
